username,post,tag,likes,comment
wordmotivated,saveearth repost humantrafficking,"['#saveearth ', '#repost ', '#humantrafficking']",37,"[['felixvm_fx', 'wow cool picture i followed your profile '], ['techtalklife', 'heywordmotivatednice work is worth for following you do checkout and follow my bio for more positve yo'], ['billionairedaily', ''], ['vibeautyindo', 'nice pic kakakk'], ['veronicarozenfeld', 'lets connect'], ['placeswetravelto', 'youve got some awesome photos  good work ']]"
wordmotivated,what do you thinkif i added this video dont forget for watching my youtube channel,[],49,"[['simply_hypnotic', 'hi just wanted to reach out and say how much i like your stuff'], ['diivinelymadee', 'i admire this wordmotivated im currently working on a website aswell as writing a book so i wish i can be off value to you aswell god speed warm regards'], ['blackhustles', 'cool photo'], ['lukm4n44', 'follback '], ['lynbeautee', 'follbck dan likeback ya kak wordmotivated'], ['brandonbamba_', 'amazing we ve been told by a lot of people that our work tremendously help them please check the page in my bio so you look it up yourself'], ['achievefullpotential', '']]"
wordmotivated,,[],0,[]
ocheese_stick,,[],1,[]
ocheese_stick,,[],1,[]
ocheese_stick,,[],1,[]
ocheese_stick,,[],1,[]
ocheese_stick,,[],1,[]
ocheese_stick,,[],1,[]
ocheese_stick,,[],1,[]
ocheese_stick,,[],1,[]
ocheese_stick,,[],1,[]
ocheese_stick,,[],0,[]
ocheese_stick,,[],1,[]
ocheese_stick,,[],0,[]
project_lnteresting_,this is why this place exists for pure enjoyment of the sacrament,[],4,[]
project_lnteresting_,spooky but educational times,[],3,[]
project_lnteresting_,it was a close call but i choose not to accept this answer step into the now,[],3,[]
project_lnteresting_,,[],0,[]
suka_case_suka,sponge bob again aye aye captain jualcustomcase jualonlinemurah nickelodeon nickelodeonindonesia spongebob,"['#jualcustomcase ', '#jualonlinemurah ', '#nickelodeon ', '#nickelodeonindonesia ', '#spongebob']",1,[]
suka_case_suka,squidword friends of spongebob squidward squid seaanimals seacreatures hewanlaut cumicumi spongebob nickelodeon caseiphone caseiphone7plus,"['#squidward ', '#squid ', '#seaanimals ', '#seacreatures ', '#hewanlaut ', '#cumicumi ', '#spongebob ', '#nickelodeon ', '#caseiphone ', '#caseiphone7plus']",1,[]
suka_case_suka,patrick star patrickstar mrcrabs krabypatty nickelodeon jualcustomcase jualcaseunik caseoppo casesamsungj32016 casesamsungs8,"['#patrickstar ', '#mrcrabs ', '#krabypatty ', '#nickelodeon ', '#jualcustomcase ', '#jualcaseunik ', '#caseoppo ', '#casesamsungj32016 ', '#casesamsungs8']",1,[]
suka_case_suka,sponge bob square pants spongebob patrickstar nickelodeonindonesia jualcustomcase jualonlinemurah jualcaseunik,"['#spongebob ', '#patrickstar ', '#nickelodeonindonesia ', '#jualcustomcase ', '#jualonlinemurah ', '#jualcaseunik']",1,[]
suka_case_suka,segala puji bagi allah swt muslim muslimahcantik muslimahsyari muslimahtraveller alhamdulillahsyukur,"['#muslim ', '#muslimahcantik ', '#muslimahsyari ', '#muslimahtraveller ', '#alhamdulillahsyukur']",1,[]
suka_case_suka,sebelum melakukan aktifitas basmallah muslimahcantik muslim hadiahwisuda hadiahultah,"['#basmallah ', '#muslimahcantik ', '#muslim ', '#hadiahwisuda ', '#hadiahultah']",1,[]
suka_case_suka,muslimah anggun muslimahcantik muslimahsyari muslimahtraveller muslimahhijrah jualcustomcase jualonlinemurah jualcase,"['#muslimahcantik ', '#muslimahsyari ', '#muslimahtraveller ', '#muslimahhijrah ', '#jualcustomcase ', '#jualonlinemurah ', '#jualcase']",2,[]
suka_case_suka,muslimah cantik muslimahcantik muslimahsyari muslimahhijrah jualcustomcase jualonlinemurah casesamsungj32016,"['#muslimahcantik ', '#muslimahsyari ', '#muslimahhijrah ', '#jualcustomcase ', '#jualonlinemurah ', '#casesamsungj32016']",1,[]
suka_case_suka,muslimah traveller muslimah muslimahtraveller muslimahsyari jualcustomcase jualonlinemurah jualcasejadul,"['#muslimah ', '#muslimahtraveller ', '#muslimahsyari ', '#jualcustomcase ', '#jualonlinemurah ', '#jualcasejadul']",2,[]
suka_case_suka,minion likes banana minions minionstuff despicableme gru jualcustomcase jualcustomcase,"['#minions ', '#minionstuff ', '#despicableme ', '#gru ', '#jualcustomcase ', '#jualcustomcase']",1,[]
suka_case_suka,pika pika pikachu pikachu detectivepikachu pokemon pokemongoindonesia jualcustomcase caseoppo casevivo,"['#pikachu ', '#detectivepikachu ', '#pokemon ', '#pokemongoindonesia ', '#jualcustomcase ', '#caseoppo ', '#casevivo']",1,[]
suka_case_suka,thor god of thunder thor thorragnarok marvellegends endgame jualcustomcase caseoppo caseunikmurah,"['#thor ', '#thorragnarok ', '#marvellegends ', '#endgame ', '#jualcustomcase ', '#caseoppo ', '#caseunikmurah']",1,[]
suka_case_suka,spiderman young avenger spidermanhomecoming spidermanintothespiderverse spidermanfarfromhome jualonlinemurah jualcustomcase onlineshopbandung,"['#spidermanhomecoming ', '#spidermanintothespiderverse ', '#spidermanfarfromhome ', '#jualonlinemurah ', '#jualcustomcase ', '#onlineshopbandung']",1,[]
suka_case_suka,ilove you 3000 by iron man tony stark ironman iloveyou3000 avengersassemble endgame ironman3 caseunikmurah jualcustomcase,"['#ironman ', '#iloveyou3000 ', '#avengersassemble ', '#endgame ', '#ironman3 ', '#caseunikmurah ', '#jualcustomcase']",1,[]
suka_case_suka,roger steverogerscaptainamerica captainamerica marvel civilwar ironman3 jualcustomcase caseoppoa3s,"['#steverogerscaptainamerica ', '#captainamerica ', '#marvel ', '#civilwar ', '#ironman3 ', '#jualcustomcase ', '#caseoppoa3s']",0,[]
suka_case_suka,shields of captain america war marvel cartoon avengersassemble avengers jualcustomcase jualonlinemurah casevivo,"['#war ', '#marvel ', '#cartoon ', '#avengersassemble ', '#avengers ', '#jualcustomcase ', '#jualonlinemurah ', '#casevivo']",0,[]
suka_case_suka,capt in blue creative ilovecaptainamerica marvel avengers3 jualcustomcase caseiphone caseku caseunikmurah,"['#creative ', '#ilovecaptainamerica ', '#marvel ', '#avengers3 ', '#jualcustomcase ', '#caseiphone ', '#caseku ', '#caseunikmurah']",0,[]
suka_case_suka,captain america  captainamerica civilwar marvel avengersassemble jualcustomcase jualcase casekeren,"['#captainamerica ', '#civilwar ', '#marvel ', '#avengersassemble ', '#jualcustomcase ', '#jualcase ', '#casekeren']",0,[]
suka_case_suka,roger captain captainamerica civilwar avengers jualcustomcase caseoppo casesamsungs8 caseunikmurah,"['#captainamerica ', '#civilwar ', '#avengers ', '#jualcustomcase ', '#caseoppo ', '#casesamsungs8 ', '#caseunikmurah']",0,[]
suka_case_suka,back to yesterday caseunikmurah casekeren jualcasejadul hpjadul,"['#caseunikmurah ', '#casekeren ', '#jualcasejadul ', '#hpjadul']",1,[]
suka_case_suka,wanna dm me or wa fast respons diskonjakarta jualcustomcase retrocase caseoppo casea,"['#diskonjakarta ', '#jualcustomcase ', '#retrocase ', '#caseoppo ', '#casea']",1,[]
suka_case_suka,avenger assemble  marvel avengersendgame thor ironman caseoppo caseunikmurah,"['#marvel ', '#avengersendgame ', '#thor ', '#ironman ', '#caseoppo ', '#caseunikmurah']",1,[]
suka_case_suka,adidas wanna dmme or wa fast respons adidas samsungs10 samsungs8 samsungs9plus caseiphone7,"['#adidas ', '#samsungs10 ', '#samsungs8 ', '#samsungs9plus ', '#caseiphone7']",1,[]
suka_case_suka,case jersey guys wanna dmme or wa fast respons jualcustomcase caseku casekeren caseunikmurah caseoppo casesamsungj32016,"['#jualcustomcase ', '#caseku ', '#casekeren ', '#caseunikmurah ', '#caseoppo ', '#casesamsungj32016']",1,[]
suka_case_suka,gameboycase casekeren casebaru casesolomurah casebandung,"['#gameboycase ', '#casekeren ', '#casebaru ', '#casesolomurah ', '#casebandung']",0,[]
suka_case_suka,customcasesurabaya customcasebaru murahmeriah caseoppo casevivo,"['#customcasesurabaya ', '#customcasebaru ', '#murahmeriah ', '#caseoppo ', '#casevivo']",1,[]
suka_case_suka,casecouple customcasesurabaya casemurahbanget onlineshopbandung,"['#casecouple ', '#customcasesurabaya ', '#casemurahbanget ', '#onlineshopbandung']",3,[]
suka_case_suka,caseoppo jualcustomcase jualonlinemurah customcaseku,"['#caseoppo ', '#jualcustomcase ', '#jualonlinemurah ', '#customcaseku']",2,[]
suka_case_suka,customcaseku caseunikmurah caseoppo casevivo casesamsungs8 casemurah,"['#customcaseku ', '#caseunikmurah ', '#caseoppo ', '#casevivo ', '#casesamsungs8 ', '#casemurah']",1,[]
suka_case_suka,wayang is from indonesia mari budayakan wayang artis customcasesurabaya jualonlinemurah jualcustomcase jualcase,"['#wayang ', '#artis ', '#customcasesurabaya ', '#jualonlinemurah ', '#jualcustomcase ', '#jualcase']",0,[]
suka_case_suka,mengingatkan untuk makan mieee eh tp jangan banyak2 cukup casenya aja yang bentuk indomie cinta indonesia indomie caseindomie artis customcaseku caseoppo,"['#indomie ', '#caseindomie ', '#artis ', '#customcaseku ', '#caseoppo']",0,[]
suka_case_suka,baju batik jaket batik yakin gak mau case batik wanna dm me or wa fast respon jualcustomcase casesonny casevivo casexiaomi casesamsungj32016,"['#jualcustomcase ', '#casesonny ', '#casevivo ', '#casexiaomi ', '#casesamsungj32016']",1,[]
suka_case_suka,mau custom case sesuai keinginan banyak keuntungannya free desain sendiri seharga rp 15000 free tulis nama biar gak ketuker seharga rp 10000 free revisi sampai sesuai dengan keinginan unlimited pengerjaan 12 hari kerja wanna dm me or wa fast respon customcasesurabaya customcaseku jualcustomcase jualcustomcase caseunikmurah,"['#customcasesurabaya ', '#customcaseku ', '#jualcustomcase ', '#jualcustomcase ', '#caseunikmurah']",1,[]
suka_case_suka,mau custom case sesuai keinginan banyak keuntungannya free desain sendiri seharga rp 15000 free tulis nama biar gak ketuker seharga rp 10000 free revisi sampai sesuai dengan keinginan unlimited pengerjaan 12 hari kerja wanna dm me or wa fast respon casemurah casesamsungs8 caseiphone6 caselucumurah caseunikmurah,"['#casemurah ', '#casesamsungs8 ', '#caseiphone6 ', '#caselucumurah ', '#caseunikmurah']",0,[]
